dates,Policy rate,Inflation,Inflation expectation
2021-03-01,19.0,16.190243685915927,10.47
2021-04-01,19.0,17.140153599014152,11.26
2021-05-01,19.0,16.592853111024255,11.81
2021-06-01,19.0,17.525330585608813,12.12
2021-07-01,19.0,18.951681748335325,12.62
2021-08-01,19.0,19.25266075622607,12.48
2021-09-01,18.0,19.582573709687566,12.94
2021-10-01,16.0,19.890024211087876,13.91
2021-11-01,15.0,21.31252757832245,15.61
2021-12-01,14.0,36.08090172540164,21.39
2022-01-01,14.0,48.69082407948571,25.37
2022-02-01,14.0,54.43856668468605,24.83
2022-03-01,14.0,61.144538039844896,26.43
2022-04-01,14.0,69.9710700330628,28.41
2022-05-01,14.0,73.49595009775626,33.28
2022-06-01,14.0,78.61839701906919,37.91
2022-07-01,14.0,79.6020525333716,40.23
2022-08-01,13.0,80.20759403832504,41.99
2022-09-01,12.0,83.45249360389727,36.74
2022-10-01,10.5,85.51478641840087,37.34
2022-11-01,9.0,84.38925996957872,37.47
2022-12-01,9.0,64.26959749617876,34.92
2023-01-01,9.0,57.682481034550534,30.44
2023-02-01,8.5,55.179828234970564,30.75
2023-03-01,8.5,50.50851073917786,31.63
2023-04-01,8.5,43.68416980735861,31.02
2023-05-01,8.5,39.5853009358633,29.84
2023-06-01,15.0,38.21351876469987,30.65
2023-07-01,17.5,47.83173331468586,33.21
2023-08-01,25.0,58.943533697632056,42.01
2023-09-01,30.0,61.52986464671548,44.94
2023-10-01,35.0,61.35701107011069,45.28
2023-11-01,40.0,61.980166059932216,43.94
2023-12-01,42.5,64.77291860516638,41.23
2024-01-01,45.0,64.85691494665468,39.09
2024-02-01,45.0,67.0691919151233,37.78
2024-03-01,50.0,68.49537310494189,36.7
2024-04-01,50.0,69.80246761638105,35.17
2024-05-01,50.0,75.44594802398893,33.21
2024-06-01,50.0,71.59715594226061,31.79
2024-07-01,50.0,61.78100335171371,30.02
2024-08-01,50.0,51.974527816838176,28.71
2024-09-01,50.0,49.38499384993848,27.49
2024-10-01,50.0,48.58470879475847,27.44
2024-11-01,50.0,47.0927207306947,27.2
2024-12-01,47.5,44.37877141842981,27.07
2025-01-01,45.0,42.11802300380037,25.38
2025-02-01,45.0,39.05095762532065,25.26
2025-03-01,42.5,38.103829453088856,24.55
2025-04-01,46.0,37.85866364665911,25.56
2025-05-01,46.0,35.40504415277077,25.06
2025-06-01,46.0,35.04865713213958,24.56
2025-07-01,43.0,33.52240925608789,23.39
2025-08-01,43.0,32.950182200591826,22.84
2025-09-01,40.5,33.294011464040274,22.25
2025-10-01,39.5,32.86685572028274,23.26
